id,name,nutritions,tags,ingredients,persons,time,url,image
220,"Spaghetti met tuinerwten, spinazie en pangrattato","[energie, 575 kcal, koolhydraten, 62 g, waarvan suikers, 5 g, natrium, 360 mg, eiwit, 36 g, vet, 17 g, waarvan verzadigd, 7 g, vezels, 13 g]","[zonder vlees/vis, gezond, budget, pasta, hoofdgerecht, bakken]","[knoflook, volkorenbrood, milde olijfolie, gedroogde tijm, volkoren spaghetti, diepvries fijne tuinerwten, verse spinazie, wit scharrelei, De Zaanse Hoeve mild 30+ geraspt]",4,25,https://www.ah.nl/allerhande/recept/R-R1195054/spaghetti-met-tuinerwten-spinazie-en-pangrattato,https://static.ah.nl/static/recepten/img_RAM_PRD147210_1024x748_JPG.jpg
221,"Veldslastamppot met wortel, salade-ui en gehaktballetjes","[energie, 575 kcal, koolhydraten, 50 g, waarvan suikers, 10 g, natrium, 280 mg, eiwit, 23 g, vet, 29 g, waarvan verzadigd, 13 g, vezels, 9 g]","[glutenvrij, gezond, budget, stamppot, hoofdgerecht, wat eten we vandaag, bakken]","[geschrapte worteltjes, iets kruimige aardappel, citroen, rundertartaar, zuivelspread naturel, gedroogde Italiaanse kruiden, milde olijfolie, salade-uitje, veldsla]",4,35,https://www.ah.nl/allerhande/recept/R-R1195051/veldslastamppot-met-wortel-salade-ui-en-gehaktballetjes,https://static.ah.nl/static/recepten/img_RAM_PRD147213_1024x748_JPG.jpg
222,Rijstnoedels met gehakt en champignons,"[energie, 535 kcal, koolhydraten, 60 g, waarvan suikers, 10 g, natrium, 640 mg, eiwit, 26 g, vet, 20 g, waarvan verzadigd, 6 g, vezels, 6 g]","[lactosevrij, budget, noedels, hoofdgerecht, wat eten we vandaag, bakken]","[knoflook, salade-ui, kastanjechampignon, sesamolie, half om half gehakt, Thaise zilvervliesrijst noedels, verse koriander, zoete chilisaus, sojasaus, chilivlokken]",4,20,https://www.ah.nl/allerhande/recept/R-R1195047/rijstnoedels-met-gehakt-en-champignons,https://static.ah.nl/static/recepten/img_RAM_PRD146799_1024x748_JPG.jpg
223,Halloumi met shoarmakruiden en platbrood,"[energie, 510 kcal, koolhydraten, 46 g, waarvan suikers, 6 g, natrium, 1120 mg, eiwit, 24 g, vet, 24 g, waarvan verzadigd, 11 g, vezels, 7 g]","[zonder vlees/vis, snel, hoofdgerecht, wat eten we vandaag, grillen]","[komkommer, kleine rode ui, verse munt, limoen, rauwkost radijsmix, halloumi 43+ kaas, Euroma Turkse shoarmakruiden, Libanese wrap, hummus naturel]",4,15,https://www.ah.nl/allerhande/recept/R-R1195046/halloumi-met-shoarmakruiden-en-platbrood,https://static.ah.nl/static/recepten/img_RAM_PRD146797_1024x748_JPG.jpg
224,Sticky drumsticks met aardappeltjes en koolsalade,"[energie, 690 kcal, koolhydraten, 78 g, waarvan suikers, 30 g, natrium, 1240 mg, eiwit, 29 g, vet, 26 g, waarvan verzadigd, 4 g, vezels, 14 g]","[lactosevrij, budget, oven, hoofdgerecht, wat eten we vandaag]","[Sweet Baby Rays original barbecue sauce, cajun kruidenmix, kipdrumstick, vastkokende aardappel, zonnebloemolie, spitskool, winterpeen, verse selderij, zilveruitjes, mayonaise]",4,20,https://www.ah.nl/allerhande/recept/R-R1195045/sticky-drumsticks-met-aardappeltjes-en-koolsalade,https://static.ah.nl/static/recepten/img_RAM_PRD146800_1024x748_JPG.jpg
225,"Couscous met broccoli, asperges en ei","[energie, 545 kcal, koolhydraten, 42 g, waarvan suikers, 6 g, natrium, 240 mg, eiwit, 19 g, vet, 31 g, waarvan verzadigd, 5 g, vezels, 11 g]","[lactosevrij, snel, couscous, hoofdgerecht, wat eten we vandaag, koken]","[biologische volkorencouscous, broccolirijst, spice blend voor vega couscoussalade, kokend water, middelgroot ei, verse groene asperge, arachideolie, ongezouten cranberry notenmix]",4,15,https://www.ah.nl/allerhande/recept/R-R1195044/couscous-met-broccoli-asperges-en-ei,https://static.ah.nl/static/recepten/img_RAM_PRD146795_1024x748_JPG.jpg
226,Groentepasta met kipballetjes in tomatensaus,"[energie, 540 kcal, koolhydraten, 46 g, waarvan suikers, 10 g, natrium, 200 mg, eiwit, 32 g, vet, 23 g, waarvan verzadigd, 5 g, vezels, 11 g]","[lactosevrij, glutenvrij, gezond, pasta, hoofdgerecht, wat eten we vandaag, bakken]","[kipgehakt naturel, Provençaalse kruiden, milde olijfolie, knoflook, middelgrote ui, venkelknol, tomatenblokjes in blik, Bonduelle 100% erwten &amp; courgette pasta, verse spinazie]",4,25,https://www.ah.nl/allerhande/recept/R-R1195043/groentepasta-met-kipballetjes-in-tomatensaus,https://static.ah.nl/static/recepten/img_RAM_PRD146796_1024x748_JPG.jpg
227,Vega burger met kaas en augurkenblokjes,"[energie, 700 kcal, koolhydraten, 52 g, waarvan suikers, 21 g, natrium, 1320 mg, eiwit, 36 g, vet, 35 g, waarvan verzadigd, 11 g, vezels, 14 g]","[vegetarisch, snel, hoofdgerecht, wat eten we vandaag, bakken]","[maiskolf, manchego, rood-gele paprikareepjes in pot, Kesbeke augurkenblokjes, aioli, gerookt paprikapoeder, kaas-uienbol, koelverse vegetarische Berts deluxe burger, zonnebloemolie, botersla]",4,15,https://www.ah.nl/allerhande/recept/R-R1195042/vega-burger-met-kaas-en-augurkenblokjes,https://static.ah.nl/static/recepten/img_RAM_PRD146801_1024x748_JPG.jpg
228,Vogelnestje,"[energie, 820 kcal, koolhydraten, 24 g, waarvan suikers, 15 g, natrium, 800 mg, eiwit, 53 g, vet, 55 g, waarvan verzadigd, 21 g, vezels, 5 g]","[oven, hoofdgerecht]","[middelgroot ei, half-om-halfgehakt, zout, paneermeel, gemalen nootmuskaat, ongezouten roomboter, middelgrote ui, milde olijfolie, tomatenpuree, rode wijn, gepelde tomaten in blik, gedroogde oregano, kristalsuiker, verse basilicum]",4,35,https://www.ah.nl/allerhande/recept/R-R1195012/vogelnestje,https://static.ah.nl/static/recepten/img_RAM_PRD146454_1024x748_JPG.jpg
229,Lente-erwtensoep met dille en munt ,"[energie, 245 kcal, koolhydraten, 31 g, waarvan suikers, 2 g, natrium, 1480 mg, eiwit, 12 g, vet, 6 g, waarvan verzadigd, 3 g, vezels, 10 g]","[vegetarisch, snel, slank, budget, soep, hoofdgerecht, wat eten we vandaag, koken, maaltijdsoep]","[heet water, groentebouillontablet, gesneden snijbonen, parelcouscous, verse dille, verse munt, witte kaas, diepvries tuinerwten]",4,15,https://www.ah.nl/allerhande/recept/R-R1194995/lente-erwtensoep-met-dille-en-munt,https://static.ah.nl/static/recepten/img_RAM_PRD146213_1024x748_JPG.jpg
230,Blad-groentesoep met crostini,"[energie, 595 kcal, koolhydraten, 36 g, waarvan suikers, 11 g, natrium, 1360 mg, eiwit, 16 g, vet, 41 g, waarvan verzadigd, 11 g, vezels, 7 g]","[vegetarisch, budget, oven, soep, hoofdgerecht, wat eten we vandaag, maaltijdsoep]","[speltstokbrood, milde olijfolie, citroen, geroosterde amandelen, knoflook, rucola, middelgrote ui, verse spinazie, veldsla, groentebouillontablet, heet water, crème fraîche]",4,15,https://www.ah.nl/allerhande/recept/R-R1194994/blad-groentesoep-met-crostini,https://static.ah.nl/static/recepten/img_RAM_PRD146410_1024x748_JPG.jpg
231,Spanakopita,"[energie, 655 kcal, koolhydraten, 46 g, waarvan suikers, 5 g, natrium, 1440 mg, eiwit, 31 g, vet, 37 g, waarvan verzadigd, 16 g, vezels, 8 g]","[zonder vlees/vis, oven, hoofdgerecht, pasen]","[diepvries filodeeg, venkelzaad, citroen, venkelknol, verse platte peterselie, verse dille, verse munt, salade-ui, AH Biologische feta 50+, verse spinazie, zout, middelgroot ei, milde olijfolie, chilivlokken, AH Biologisch bulgur]",4,30,https://www.ah.nl/allerhande/recept/R-R1194993/spanakopita,https://static.ah.nl/static/recepten/img_RAM_PRD146436_1024x748_JPG.jpg
232,Lamsrack met chimichurri en krieltjes,"[energie, 775 kcal, koolhydraten, 51 g, waarvan suikers, 2 g, natrium, 540 mg, eiwit, 37 g, vet, 45 g, waarvan verzadigd, 14 g, vezels, 10 g]","[lactosevrij, vooraf te maken, oven, hoofdgerecht]","[krieltjes, verse Italiaanse kruiden, knoflook, gezouten roomboter, lamsrack, kleine rode ui, verse platte peterselie, rodewijnazijn, extra vierge olijfolie, paprikapoeder, chilivlokken, verse snijbonen, geroosterde rode en gele paprikareepjes, kappertjes]",4,30,https://www.ah.nl/allerhande/recept/R-R1194992/lamsrack-met-chimichurri-en-krieltjes,https://static.ah.nl/static/recepten/img_RAM_PRD146217_1024x748_JPG.jpg
233,Gegrilde lamskotelet met munt en komijn,"[energie, 590 kcal, koolhydraten, 3 g, waarvan suikers, 2 g, natrium, 200 mg, eiwit, 32 g, vet, 50 g, waarvan verzadigd, 17 g]","[lactosevrij, hoofdgerecht, wat eten we vandaag, bakken]","[komijnzaad, witte wijnazijn, milde olijfolie, vloeibare honing, rode peper, verse munt, lamskotelet]",4,20,https://www.ah.nl/allerhande/recept/R-R1194991/gegrilde-lamskotelet-met-munt-en-komijn,https://static.ah.nl/static/recepten/img_RAM_PRD146415_1024x748_JPG.jpg
234,"Risotto met tuinbonen, citroen en pecorino ","[energie, 640 kcal, koolhydraten, 77 g, waarvan suikers, 2 g, natrium, 1600 mg, eiwit, 21 g, vet, 25 g, waarvan verzadigd, 16 g, vezels, 8 g]","[zonder vlees/vis, budget, italiaans, hoofdgerecht, wat eten we vandaag, koken]","[diepvries tuinbonen, groentebouillontablet, kokend water, sjalot, ongezouten roomboter, Arborio risottorijst, droge witte wijn, Pecorino Romano, citroen]",4,30,https://www.ah.nl/allerhande/recept/R-R1194990/risotto-met-tuinbonen-citroen-en-pecorino,https://static.ah.nl/static/recepten/img_RAM_PRD146216_1024x748_JPG.jpg
235,Aardappelsalade met witte asperges en zalm,"[energie, 525 kcal, koolhydraten, 54 g, waarvan suikers, 5 g, natrium, 800 mg, eiwit, 27 g, vet, 20 g, waarvan verzadigd, 4 g, vezels, 11 g]","[glutenvrij, hollands, salade, hoofdgerecht, koken]","[pommes rouges, middelgroot ei, verse witte asperges, sjalot, verse bieslook, babyromainesla, mayonaise, dijonmosterd, wittewijnazijn, sockeye zalm]",4,35,https://www.ah.nl/allerhande/recept/R-R1194988/aardappelsalade-met-witte-asperges-en-zalm,https://static.ah.nl/static/recepten/img_RAM_PRD146408_1024x748_JPG.jpg
236,Groene asperges met parelcouscous en pistachepesto,"[energie, 635 kcal, koolhydraten, 55 g, waarvan suikers, 4 g, natrium, 360 mg, eiwit, 22 g, vet, 35 g, waarvan verzadigd, 8 g, vezels, 5 g]","[zonder vlees/vis, couscous, hoofdgerecht, bakken]","[gepelde pistachenoten, Pecorino Romano, rucola, knoflook, milde olijfolie, water, parelcouscous, natuurazijn, middelgroot ei, groene asperges, citroen, chilivlokken]",4,30,https://www.ah.nl/allerhande/recept/R-R1194987/groene-asperges-met-parelcouscous-en-pistachepesto,https://static.ah.nl/static/recepten/img_RAM_PRD146419_1024x748_JPG.jpg
237,"Pasta met bloemkool, gesmoorde ui en spekjes","[energie, 665 kcal, koolhydraten, 67 g, waarvan suikers, 10 g, natrium, 880 mg, eiwit, 28 g, vet, 30 g, waarvan verzadigd, 12 g, vezels, 8 g]","[budget, pasta, hoofdgerecht, wat eten we vandaag, bakken]","[kleine ui, milde olijfolie, gerookte spekreepjes, penne, bloemkool, geraspte oude kaas, bakje tuinkers]",4,30,https://www.ah.nl/allerhande/recept/R-R1194980/pasta-met-bloemkool-gesmoorde-ui-en-spekjes,https://static.ah.nl/static/recepten/img_RAM_PRD146431_1024x748_JPG.jpg
238,Gebakken sperziebonen en kruidig gehakt met witte rijst ,"[energie, 590 kcal, koolhydraten, 71 g, waarvan suikers, 3 g, natrium, 240 mg, eiwit, 26 g, vet, 21 g, waarvan verzadigd, 6 g, vezels, 7 g]","[lactosevrij, budget, rijst, hoofdgerecht, wat eten we vandaag, bakken]","[basmatirijst, milde olijfolie, sperziebonen, gember, knoflook, half om half gehakt, gemalen komijn, tomatenpuree, sambal manis, water]",4,25,https://www.ah.nl/allerhande/recept/R-R1194979/gebakken-sperziebonen-en-kruidig-gehakt-met-witte-rijst,https://static.ah.nl/static/recepten/img_RAM_PRD146414_1024x748_JPG.jpg
239,Traybake van kip met broccoli en zoete aardappel,"[energie, 605 kcal, koolhydraten, 66 g, waarvan suikers, 13 g, natrium, 520 mg, eiwit, 27 g, vet, 23 g, waarvan verzadigd, 5 g, vezels, 13 g]","[gezond, lactosevrij, glutenvrij, oven, hoofdgerecht, wat eten we vandaag]","[verse tijm, knoflook, citroen, olijfolie, scharrelkipdijfilet, zoete aardappel, broccoli, rode ui]",4,15,https://www.ah.nl/allerhande/recept/R-R1194978/traybake-van-kip-met-broccoli-en-zoete-aardappel,https://static.ah.nl/static/recepten/img_RAM_PRD146438_1024x748_JPG.jpg
240,Bonenschotel met ei en verse kruiden ,"[energie, 415 kcal, koolhydraten, 28 g, waarvan suikers, 12 g, natrium, 440 mg, eiwit, 19 g, vet, 22 g, waarvan verzadigd, 5 g, vezels, 14 g]","[vegetarisch, lactosevrij, glutenvrij, gezond, oven, hoofdgerecht, wat eten we vandaag]","[gele paprika, snoepgroente tomaat, milde olijfolie, verse munt, koriander, witte bonen in blik, polpa, middelgroot ei]",4,15,https://www.ah.nl/allerhande/recept/R-R1194977/bonenschotel-met-ei-en-verse-kruiden,https://static.ah.nl/static/recepten/img_RAM_PRD146411_1024x748_JPG.jpg
241,"Zalm met noedels, paksoi en sesam-limoendressing","[energie, 585 kcal, koolhydraten, 49 g, waarvan suikers, 6 g, natrium, 120 mg, eiwit, 24 g, vet, 31 g, waarvan verzadigd, 5 g, vezels, 8 g]","[gezond, snel, noedels, hoofdgerecht, wat eten we vandaag, bakken]","[rode peper, limoen, sesamzaad, sesamolie, knoflook, verse zalmfilet, Thaise zilvervliesrijst noedels, verse gember, paksoi, koelvers gesneden spitskool]",4,15,https://www.ah.nl/allerhande/recept/R-R1194976/zalm-met-noedels-paksoi-en-sesam-limoendressing,https://static.ah.nl/static/recepten/img_RAM_PRD146441_1024x748_JPG.jpg
242,"Naan met gebakken feta, hummus en groente","[energie, 590 kcal, koolhydraten, 41 g, waarvan suikers, 9 g, natrium, 960 mg, eiwit, 19 g, vet, 37 g, waarvan verzadigd, 11 g, vezels, 7 g]","[vegetarisch, oven, hoofdgerecht, wat eten we vandaag, 5-ingrediënten]","[feta 43+, milde olijfolie, Provençaalse kruiden, mininaan, Provençaalse roerbakmix, Euroma Franse ratatouille-kruiden, hummus pikant]",4,10,https://www.ah.nl/allerhande/recept/R-R1194975/naan-met-gebakken-feta-hummus-en-groente,https://static.ah.nl/static/recepten/img_RAM_PRD146425_1024x748_JPG.jpg
243,Currysoep met garnalen en rijstnoedels,"[energie, 380 kcal, koolhydraten, 57 g, waarvan suikers, 7 g, natrium, 560 mg, eiwit, 15 g, vet, 9 g, waarvan verzadigd, 2 g, vezels, 7 g]","[lactosevrij, snel, slank, soep, hoofdgerecht, wat eten we vandaag, bakken, 5-ingrediënten, maaltijdsoep]","[koelverse broccoli, wortel, bloemkool, arachideolie, Thaise gele currypasta, heet water, rauwe en gepelde roze garnalen, rijstnoedels, limoen]",4,15,https://www.ah.nl/allerhande/recept/R-R1194974/currysoep-met-garnalen-en-rijstnoedels,https://static.ah.nl/static/recepten/img_RAM_PRD146413_1024x748_JPG.jpg
244,"Ravioli met rodekool, rauwe ham en rucola","[energie, 630 kcal, koolhydraten, 58 g, waarvan suikers, 15 g, natrium, 1120 mg, eiwit, 26 g, vet, 31 g, waarvan verzadigd, 12 g, vezels, 8 g]","[pasta, hoofdgerecht, wat eten we vandaag, bakken, 5-ingrediënten]","[milde olijfolie, Schwarzwalder schinken, rucola, zuivelspread light, water, rodekool, verse ravioli 5 formaggio]",4,20,https://www.ah.nl/allerhande/recept/R-R1194972/ravioli-met-rodekool-rauwe-ham-en-rucola,https://static.ah.nl/static/recepten/img_RAM_PRD146432_1024x748_JPG.jpg
245,Geroosterde bloemkool met makkelijke mole van Freddy Tratlehner,"[energie, 345 kcal, koolhydraten, 15 g, waarvan suikers, 12 g, natrium, 360 mg, eiwit, 9 g, vet, 26 g, waarvan verzadigd, 4 g, vezels, 8 g]","[lactosevrij, oven, hoofdgerecht]","[bloemkool, milde olijfolie, zonnebloemolie, jalapeñopeper, knoflook, middelgrote ui, amandelen, tomatenblokjes in blik, ansjovisfilets, steranijs, dadels zonder pit, cacaopoeder, gemalen komijn, kaneelpoeder, limoen, verse koriander]",1,75,https://www.ah.nl/allerhande/recept/R-R1194968/geroosterde-bloemkool-met-makkelijke-mole-van-freddy-tratlehner,https://static.ah.nl/static/recepten/img_RAM_PRD146416_1024x748_JPG.jpg
246,Romige tortelloni met witte asperges en zalm,"[energie, 690 kcal, koolhydraten, 63 g, waarvan suikers, 8 g, natrium, 1160 mg, eiwit, 28 g, vet, 35 g, waarvan verzadigd, 6 g, vezels, 8 g]","[snel, pasta, hoofdgerecht, wat eten we vandaag, koken, 5-ingrediënten]","[geschilde witte asperge, milde olijfolie, verse bladspinazie, verse tortelloni ricotta di bufala e limone, Maggi saus voor asperges, gerookte zalmfilet]",4,15,https://www.ah.nl/allerhande/recept/R-R1194964/romige-tortelloni-met-witte-asperges-en-zalm,https://static.ah.nl/static/recepten/img_RAM_PRD146433_1024x748_JPG.jpg
247,Jackfruit-curry met roti,"[energie, 505 kcal, koolhydraten, 71 g, waarvan suikers, 9 g, natrium, 480 mg, eiwit, 18 g, vet, 14 g, waarvan verzadigd, 3 g, vezels, 12 g]","[vegetarisch, budget, hoofdgerecht, wat eten we vandaag, stoven]","[middelgrote ui, verse rode peper, Fairtrade Original Young Jackfruit in blik, zonnebloemolie, curry madras specerijenmelange, tomatenpuree, voorgekookte krieltjes, groentebouillontablet, heet water, verse sperziebonen, bloemkool, wit scharrelei, Surinaamse rotivellen]",4,35,https://www.ah.nl/allerhande/recept/R-R1194947/jackfruit-curry-met-roti,https://static.ah.nl/static/recepten/img_RAM_PRD144837_1024x748_JPG.jpg
248,Linzen-tomatensoep met pompoen,"[energie, 255 kcal, koolhydraten, 19 g, waarvan suikers, 8 g, natrium, 1120 mg, eiwit, 8 g, vet, 15 g, waarvan verzadigd, 7 g, vezels, 7 g]","[vegetarisch, budget, soep, hoofdgerecht, wat eten we vandaag, koken, maaltijdsoep]","[verse gemberwortel, milde olijfolie, kerriepoeder, koelverse muskaatpompoenstukjes, tomaten, Bon Coco kokosmelk light in blik, heet water, groentebouillontablet, HAK linzen in zak, verse spinazie]",4,30,https://www.ah.nl/allerhande/recept/R-R1194945/linzen-tomatensoep-met-pompoen,https://static.ah.nl/static/recepten/img_RAM_PRD144836_1024x748_JPG.jpg
249,Kabeljauw-pakketjes met rauwe ham,"[energie, 690 kcal, koolhydraten, 49 g, waarvan suikers, 10 g, natrium, 840 mg, eiwit, 42 g, vet, 35 g, waarvan verzadigd, 16 g, vezels, 6 g]","[snel, pasta, hoofdgerecht, wat eten we vandaag, bakken]","[kabeljauwhaasje, verse basilicum, Prosciutto di Parma, milde olijfolie, Italiaanse roerbakgroente champignons, paddenstoelenbouillontablet, tarwebloem, verse slagroom, verse pappardelle]",4,15,https://www.ah.nl/allerhande/recept/R-R1194944/kabeljauw-pakketjes-met-rauwe-ham,https://static.ah.nl/static/recepten/img_RAM_PRD144834_1024x748_JPG.jpg
250,Bloemkoolrijst-schotel met rode kidneybonen,"[energie, 375 kcal, koolhydraten, 17 g, waarvan suikers, 11 g, natrium, 120 mg, eiwit, 9 g, vet, 27 g, waarvan verzadigd, 3 g, vezels, 14 g]","[gezond, vegetarisch, glutenvrij, lactosevrij, snel, hoofdgerecht, wat eten we vandaag, bakken]","[paprikamix, milde olijfolie, Euroma Original Spices by Jonnie Boer picadillo, verse koriander, eetrijpe avocado, rode kidneybonen in blik, koelverse bloemkoolrijst]",4,15,https://www.ah.nl/allerhande/recept/R-R1194943/bloemkoolrijst-schotel-met-rode-kidneybonen,https://static.ah.nl/static/recepten/img_RAM_PRD144833_1024x748_JPG.jpg
251,Traybake met kip en mosterd,"[energie, 415 kcal, koolhydraten, 35 g, waarvan suikers, 10 g, natrium, 480 mg, eiwit, 26 g, vet, 17 g, waarvan verzadigd, 4 g, vezels, 8 g]","[glutenvrij, lactosevrij, oven, hoofdgerecht, wat eten we vandaag, 5-ingrediënten]","[stoomaardappelmix, zonnebloemolie, dijonmosterd, kipdijfiletreepjes, koelverse roerbakgroenten Provençaals, verse platte peterselie]",4,10,https://www.ah.nl/allerhande/recept/R-R1194942/traybake-met-kip-en-mosterd,https://static.ah.nl/static/recepten/img_RAM_PRD144838_1024x748_JPG.jpg
252,"Vegan curry met aardappel, boerenkool en kokosmelk","[energie, 875 kcal, koolhydraten, 68 g, waarvan suikers, 7 g, natrium, 600 mg, eiwit, 16 g, vet, 56 g, waarvan verzadigd, 36 g, vezels, 16 g]","[veganistisch, lactosevrij, curry, hoofdgerecht, koken]","[grote rode ui, verse gember, knoflook, biologische kikkererwten in pot, milde olijfolie, gemalen kurkuma (koenjit), milde paprikapoeder, gemalen korianderzaad, komijnzaad, vastkokende aardappel, kokosmelk, heet water, Zonnatura groentebouillontablet, verse boerenkool, verse koriander, citroen]",4,40,https://www.ah.nl/allerhande/recept/R-R1194922/vegan-curry-met-aardappel-boerenkool-en-kokosmelk,https://static.ah.nl/static/recepten/img_RAM_PRD144796_1024x748_JPG.jpg
253,Vega gehakt van tofu met mie en paksoi,"[energie, 600 kcal, koolhydraten, 54 g, waarvan suikers, 10 g, natrium, 1360 mg, eiwit, 22 g, vet, 32 g, waarvan verzadigd, 5 g, vezels, 5 g]","[vegetarisch, lactosevrij, budget, oven, aziatisch, noedels, hoofdgerecht]","[tofu naturel, paprikapoeder, gemalen komijnzaad, knoflookpoeder, uienpoeder, zout, arachideolie, ketjap medja no.01, sambal oelek, paksoi, salade-uitje, limoen, Japanse sojasaus, Chinese eiermie]",4,5,https://www.ah.nl/allerhande/recept/R-R1194920/vega-gehakt-van-tofu-met-mie-en-paksoi,https://static.ah.nl/static/recepten/img_RAM_PRD144815_1024x748_JPG.jpg
254,Pompoencurry met tofu,"[energie, 475 kcal, koolhydraten, 11 g, waarvan suikers, 5 g, natrium, 520 mg, eiwit, 16 g, vet, 40 g, waarvan verzadigd, 20 g, vezels, 4 g]","[glutenvrij, vegetarisch, lactosevrij, aziatisch, curry, hoofdgerecht, bakken]","[middelgrote ui, arachideolie, Fairtrade gele curry kruidenpasta, tofu naturel, koelverse pompoenstukjes, kokosmelk, water, taugé, limoen]",4,25,https://www.ah.nl/allerhande/recept/R-R1194919/pompoencurry-met-tofu,https://static.ah.nl/static/recepten/img_RAM_PRD144799_1024x748_JPG.jpg
255,Sticky tofu met groente en rijst,"[energie, 645 kcal, koolhydraten, 84 g, waarvan suikers, 19 g, natrium, 720 mg, eiwit, 22 g, vet, 23 g, waarvan verzadigd, 5 g, vezels, 6 g]","[vegetarisch, budget, rijst, hoofdgerecht, bakken]","[basmatirijst, tofu naturel, zonnebloemolie, Japanse wokgroente, knoflook, sojasaus, gembersiroop, rijstazijn, chilisaus, water, maizena, seroendeng]",4,30,https://www.ah.nl/allerhande/recept/R-R1194918/sticky-tofu-met-groente-en-rijst,https://static.ah.nl/static/recepten/img_RAM_PRD144813_1024x748_JPG.jpg
256,Preitaart met oude kaas en pistachedeeg,"[energie, 1070 kcal, koolhydraten, 64 g, waarvan suikers, 10 g, natrium, 560 mg, eiwit, 28 g, vet, 76 g, waarvan verzadigd, 42 g, vezels, 9 g]","[zonder vlees/vis, budget, oven, hoofdgerecht]","[gepelde pistachenoten, De Zaanse Hoeve ongezouten roomboter, tarwebloem, zout, wit scharrelei, koud water, prei, extra vierge olijfolie, oude kaas 48+, knoflook, citroen, crème fraîche]",4,30,https://www.ah.nl/allerhande/recept/R-R1194917/preitaart-met-oude-kaas-en-pistachedeeg,https://static.ah.nl/static/recepten/img_RAM_PRD144810_1024x748_JPG.jpg
257,Vegetarisch stoofpotje met paddenstoelen en aardappelpuree,"[energie, 465 kcal, koolhydraten, 64 g, waarvan suikers, 16 g, natrium, 360 mg, eiwit, 17 g, vet, 14 g, waarvan verzadigd, 8 g, vezels, 10 g]","[vegetarisch, oven, hoofdgerecht]","[Royal funghi gedroogde paddenstoel, heet water, kastanjechampignon, ongezouten roomboter, verse prei, knoflook, tarwebloem, dijonmosterd, halfvolle melk, kruimige aardappel, selderij]",4,50,https://www.ah.nl/allerhande/recept/R-R1194915/vegetarisch-stoofpotje-met-paddenstoelen-en-aardappelpuree,https://static.ah.nl/static/recepten/img_RAM_PRD144804_1024x748_JPG.jpg
258,Pompoenrisotto met wortel en geitenkaas,"[energie, 520 kcal, koolhydraten, 61 g, waarvan suikers, 8 g, natrium, 1000 mg, eiwit, 17 g, vet, 22 g, waarvan verzadigd, 13 g, vezels, 6 g]","[vegetarisch, oven, rijst, hoofdgerecht]","[ongezouten roomboter, hutspotgroente, knoflook, groentebouillontablet, kokend water, AH Excellent risotto rijst, koelverse muskaatpompoenstukjes, gemalen nootmuskaat, geitenkaas schijfjes, amandelschaafsel]",4,15,https://www.ah.nl/allerhande/recept/R-R1194914/pompoenrisotto-met-wortel-en-geitenkaas,https://static.ah.nl/static/recepten/img_RAM_PRD144809_1024x748_JPG.jpg
259,Gepofte knolselderij met geroosterde aardappelen en sla,"[energie, 505 kcal, koolhydraten, 61 g, waarvan suikers, 5 g, natrium, 280 mg, eiwit, 11 g, vet, 21 g, waarvan verzadigd, 3 g, vezels, 13 g]","[vegetarisch, glutenvrij, oven, hoofdgerecht]","[verse rozemarijn, knoflook, milde olijfolie, knolselderij, vastkokende aardappel, yoghurt Griekse stijl 2%, natuurazijn, mayonaise, bos radijs, veldsla]",4,20,https://www.ah.nl/allerhande/recept/R-R1194913/gepofte-knolselderij-met-geroosterde-aardappelen-en-sla,https://static.ah.nl/static/recepten/img_RAM_PRD144800_1024x748_JPG.jpg
260,Traybake met vegetarische balletjes en ovengroenten,"[energie, 655 kcal, koolhydraten, 83 g, waarvan suikers, 9 g, natrium, 840 mg, eiwit, 26 g, vet, 20 g, waarvan verzadigd, 3 g, vezels, 18 g]","[vegetarisch, lactosevrij, budget, oven, hoofdgerecht]","[vastkokende aardappel, ovengroente zoete aardappel, rode paprika en broccoli, milde olijfolie, ras el hanout, vegetarische balletjes, citroen, hummus naturel, water]",4,10,https://www.ah.nl/allerhande/recept/R-R1194912/traybake-met-vegetarische-balletjes-en-ovengroenten,https://static.ah.nl/static/recepten/img_RAM_PRD144816_1024x748_JPG.jpg
261,Vega lasagne bolognese,"[energie, 830 kcal, koolhydraten, 74 g, waarvan suikers, 21 g, natrium, 800 mg, eiwit, 48 g, vet, 35 g, waarvan verzadigd, 12 g, vezels, 14 g]","[vegetarisch, oven, hoofdgerecht]","[middelgrote ui, stengels bleekselderij, winterpeen, milde olijfolie, Italiaanse kruiden, knoflook, water, Mutti polpa in blik, rulstukjes, tarwebloem, halfvolle melk, gemalen nootmuskaat, verse lasagnebladen, geraspte kaas voor pasta]",4,40,https://www.ah.nl/allerhande/recept/R-R1194911/vega-lasagne-bolognese,https://static.ah.nl/static/recepten/img_RAM_PRD144818_1024x748_JPG.jpg
